                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5441,                 4.0061,                 1.6885,                0.81788,                0.17988,                0.40485,                0.14055,                 2.2251,                 2.8272,                 1.5047,               0.067679,             3.2353e-05,             3.2353e-05
                      2,                 2.0603,                 1.3665,                 1.4276,                0.72904,                0.29939,                0.49165,                0.21411,                  2.026,                 2.4366,                 1.4118,               0.034379,             6.5686e-05,             6.5686e-05
                      3,                 2.0029,                 1.2362,                 1.3732,                0.78891,                0.63937,                0.74095,                0.31122,                 1.9671,                  1.178,                   1.37,              0.0010794,             9.9019e-05,             9.9019e-05
                      4,                 1.9934,                 1.1787,                  1.366,                0.81622,                0.71158,                0.78418,                0.32276,                 1.9798,                 1.1074,                 1.3989,             9.9998e-05,             9.9998e-05,             9.9998e-05
                      5,                 1.9387,                 1.1174,                 1.3613,                0.81284,                 0.7253,                0.80142,                0.33007,                  1.953,                 1.0841,                 1.3691,             9.9996e-05,             9.9996e-05,             9.9996e-05
                      6,                 1.9433,                  1.149,                 1.3664,                0.81477,                0.75356,                0.79876,                0.33068,                 1.9516,                 1.0667,                 1.4023,             9.9994e-05,             9.9994e-05,             9.9994e-05
                      7,                 1.9165,                 1.0866,                 1.3502,                0.81266,                0.77452,                0.81534,                0.34796,                 1.8994,                 1.0774,                 1.3809,             9.9991e-05,             9.9991e-05,             9.9991e-05
                      8,                 1.9304,                 1.1001,                 1.3643,                0.82658,                0.73777,                0.82132,                0.35117,                 1.8977,                 1.0389,                 1.3814,             9.9988e-05,             9.9988e-05,             9.9988e-05
                      9,                 1.9103,                  1.065,                 1.3415,                0.82536,                0.75492,                 0.8142,                 0.3404,                 1.9251,                 1.0684,                 1.3741,             9.9984e-05,             9.9984e-05,             9.9984e-05
                     10,                 1.8976,                 1.0428,                 1.3331,                0.83919,                0.76879,                0.82059,                0.34523,                 1.9539,                 1.0163,                 1.4135,              9.998e-05,              9.998e-05,              9.998e-05
                     11,                 1.8916,                 1.0351,                 1.3515,                0.80724,                0.77325,                0.82305,                0.34349,                  1.932,                 1.0246,                 1.3958,             9.9976e-05,             9.9976e-05,             9.9976e-05
                     12,                  1.884,                 1.0151,                 1.3456,                0.82649,                  0.778,                 0.8301,                0.34145,                 1.9425,                 1.0514,                 1.4024,              9.997e-05,              9.997e-05,              9.997e-05
                     13,                 1.8619,                0.98529,                 1.3404,                0.84325,                0.73795,                0.82188,                0.35095,                 1.9651,                 1.0099,                 1.4135,             9.9965e-05,             9.9965e-05,             9.9965e-05
                     14,                 1.8565,                0.99082,                 1.3365,                0.82571,                0.78156,                0.82752,                0.34474,                 1.9591,                0.99014,                 1.4112,             9.9959e-05,             9.9959e-05,             9.9959e-05
                     15,                 1.8525,                0.97535,                 1.3294,                0.82521,                0.76918,                0.81174,                0.34042,                  1.954,                 1.0162,                 1.4191,             9.9952e-05,             9.9952e-05,             9.9952e-05
                     16,                 1.8523,                0.97783,                 1.3177,                0.81425,                0.76481,                 0.8109,                0.33281,                 2.0049,                0.99287,                 1.4299,             9.9945e-05,             9.9945e-05,             9.9945e-05
                     17,                 1.8204,                0.97737,                 1.3128,                0.82625,                 0.8103,                0.83619,                0.33556,                 1.9905,                0.96769,                 1.4497,             9.9937e-05,             9.9937e-05,             9.9937e-05
                     18,                 1.8369,                0.97815,                 1.3163,                0.83083,                0.76511,                 0.8247,                0.34464,                  1.958,                 0.9775,                  1.426,             9.9929e-05,             9.9929e-05,             9.9929e-05
                     19,                 1.8512,                0.96198,                 1.3305,                0.84649,                0.78617,                0.84617,                0.35347,                 1.9371,                0.95991,                 1.4031,             9.9921e-05,             9.9921e-05,             9.9921e-05
