                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9297,                 1.8985,                 1.2152,                0.84008,                 0.4578,                0.69589,                0.36595,                  1.566,                  2.028,                 1.1333,               0.067127,             3.2906e-05,             3.2906e-05
                      2,                 1.6863,                 1.1936,                 1.1351,                0.78233,                 0.7435,                0.78547,                0.45136,                 1.4489,                 1.0452,                 1.0999,               0.033827,             6.6239e-05,             6.6239e-05
                      3,                 1.6277,                 1.0788,                 1.1133,                0.80365,                0.76685,                0.81286,                 0.4636,                 1.4137,                0.94034,                 1.0815,             0.00052692,             9.9569e-05,             9.9569e-05
                      4,                  1.528,                 1.0183,                 1.0831,                0.80917,                0.76966,                  0.811,                0.47687,                  1.358,                0.88783,                 1.0677,             9.9991e-05,             9.9991e-05,             9.9991e-05
                      5,                 1.5306,                0.96694,                 1.0749,                0.83271,                0.78818,                0.84107,                0.48329,                 1.4208,                0.88276,                 1.0733,             9.9984e-05,             9.9984e-05,             9.9984e-05
                      6,                 1.5496,                0.95483,                 1.0898,                 0.8379,                0.79522,                0.84483,                0.48608,                 1.3865,                0.84801,                 1.0608,             9.9976e-05,             9.9976e-05,             9.9976e-05
                      7,                 1.4923,                0.92686,                 1.0611,                0.83945,                0.80074,                0.84884,                0.49478,                 1.3737,                0.82484,                 1.0566,             9.9965e-05,             9.9965e-05,             9.9965e-05
                      8,                 1.4844,                0.90106,                 1.0752,                0.84642,                0.80774,                0.85521,                0.50071,                 1.3562,                0.80417,                 1.0514,             9.9952e-05,             9.9952e-05,             9.9952e-05
                      9,                 1.4732,                0.88082,                 1.0619,                0.85053,                 0.7969,                0.85167,                0.48771,                 1.4025,                0.81943,                 1.0576,             9.9937e-05,             9.9937e-05,             9.9937e-05
                     10,                 1.5157,                0.89027,                 1.0734,                0.84738,                0.80427,                0.85493,                0.50031,                  1.356,                0.80835,                 1.0543,             9.9921e-05,             9.9921e-05,             9.9921e-05
                     11,                 1.4704,                0.87235,                 1.0496,                0.84662,                0.80404,                0.85271,                0.52131,                  1.295,                0.77579,                 1.0411,             9.9902e-05,             9.9902e-05,             9.9902e-05
                     12,                 1.4305,                0.86625,                 1.0509,                0.85384,                0.81531,                0.86635,                0.51279,                 1.3382,                0.77178,                 1.0434,             9.9882e-05,             9.9882e-05,             9.9882e-05
                     13,                 1.4371,                0.84063,                 1.0411,                0.84984,                0.81056,                 0.8573,                0.52234,                 1.2807,                0.75564,                 1.0374,             9.9859e-05,             9.9859e-05,             9.9859e-05
                     14,                 1.4378,                0.83541,                 1.0538,                0.85036,                0.80448,                0.85351,                0.52813,                 1.2677,                0.75652,                  1.038,             9.9835e-05,             9.9835e-05,             9.9835e-05
                     15,                 1.4273,                0.82972,                 1.0442,                0.85673,                0.81954,                0.86892,                0.51486,                 1.3529,                0.75229,                 1.0456,             9.9809e-05,             9.9809e-05,             9.9809e-05
                     16,                 1.4333,                0.82339,                 1.0444,                 0.8578,                0.81377,                0.86693,                0.52947,                 1.2876,                0.73031,                 1.0352,              9.978e-05,              9.978e-05,              9.978e-05
                     17,                 1.3978,                0.80627,                 1.0412,                0.86056,                0.81311,                0.86388,                0.52763,                 1.2815,                0.72439,                 1.0337,              9.975e-05,              9.975e-05,              9.975e-05
                     18,                 1.4333,                0.81572,                 1.0416,                0.85332,                0.81012,                0.86001,                0.52589,                 1.2822,                0.72454,                 1.0403,             9.9718e-05,             9.9718e-05,             9.9718e-05
                     19,                 1.4161,                0.80697,                 1.0497,                0.86465,                0.81959,                0.87374,                0.52922,                 1.3075,                0.71894,                 1.0344,             9.9684e-05,             9.9684e-05,             9.9684e-05
                     20,                 1.4383,                0.81093,                 1.0377,                0.85978,                0.81884,                0.87285,                0.53418,                 1.2876,                0.71379,                 1.0343,             9.9648e-05,             9.9648e-05,             9.9648e-05
                     21,                 1.4267,                0.80044,                  1.045,                0.86816,                0.82162,                0.87824,                0.49551,                 1.4674,                0.74639,                 1.0714,              9.961e-05,              9.961e-05,              9.961e-05
                     22,                 1.4017,                0.78811,                 1.0334,                0.86755,                 0.8206,                0.88073,                0.53378,                 1.3096,                0.71055,                 1.0307,              9.957e-05,              9.957e-05,              9.957e-05
                     23,                 1.3931,                0.77475,                 1.0337,                 0.8644,                0.82285,                0.87884,                0.51178,                 1.4086,                0.73086,                 1.0578,             9.9528e-05,             9.9528e-05,             9.9528e-05
                     24,                 1.4119,                0.78619,                 1.0307,                0.86742,                0.82554,                0.88284,                0.52994,                  1.342,                0.71407,                 1.0398,             9.9484e-05,             9.9484e-05,             9.9484e-05
                     25,                 1.3851,                0.77664,                 1.0418,                0.86154,                0.82959,                0.87915,                0.53818,                 1.2772,                0.69903,                 1.0265,             9.9438e-05,             9.9438e-05,             9.9438e-05
                     26,                 1.3854,                0.77448,                 1.0263,                0.86872,                0.82606,                0.88052,                0.53689,                 1.2876,                0.69338,                 1.0282,             9.9391e-05,             9.9391e-05,             9.9391e-05
                     27,                 1.3771,                0.76556,                 1.0341,                0.86082,                0.82072,                0.87347,                0.54401,                 1.2496,                0.68438,                 1.0261,             9.9341e-05,             9.9341e-05,             9.9341e-05
                     28,                 1.4048,                0.76635,                 1.0226,                 0.8673,                0.82816,                0.88409,                0.52496,                 1.3551,                0.70423,                 1.0363,             9.9289e-05,             9.9289e-05,             9.9289e-05
                     29,                 1.3862,                0.76693,                 1.0229,                0.86315,                0.83223,                0.88296,                0.53084,                 1.3256,                0.70223,                 1.0311,             9.9236e-05,             9.9236e-05,             9.9236e-05
                     30,                  1.367,                0.75928,                 1.0272,                0.86827,                0.82877,                0.88477,                0.53809,                 1.2971,                0.68494,                 1.0279,             9.9181e-05,             9.9181e-05,             9.9181e-05
                     31,                 1.3441,                 0.7421,                 1.0139,                0.86546,                0.82246,                0.87705,                0.54914,                 1.2503,                0.67276,                 1.0257,             9.9123e-05,             9.9123e-05,             9.9123e-05
                     32,                 1.3654,                0.74235,                 1.0265,                0.86349,                0.82933,                 0.8851,                0.54013,                 1.3021,                0.67966,                 1.0288,             9.9064e-05,             9.9064e-05,             9.9064e-05
                     33,                 1.3802,                0.75042,                 1.0299,                0.86517,                0.81725,                0.87887,                0.53863,                 1.2867,                0.68343,                 1.0324,             9.9003e-05,             9.9003e-05,             9.9003e-05
                     34,                 1.3597,                0.74191,                 1.0225,                0.86046,                 0.8357,                0.88333,                0.53795,                 1.3063,                0.68264,                 1.0333,              9.894e-05,              9.894e-05,              9.894e-05
                     35,                  1.361,                0.73924,                 1.0204,                0.86818,                0.83311,                 0.8877,                0.53752,                 1.3206,                0.68253,                 1.0316,             9.8875e-05,             9.8875e-05,             9.8875e-05
